"indicator","sector","purchased_commodity_code","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Lead","111-112","561900/US",9.7601200036476e-05,"tons",7.57447274861765e-07,"kg / million $","Other"
"Lead","111-112","562000/US",0.012971187209118,"tons",4.05717926860321e-05,"kg / million $","Other"
"Lead","111-112","611A00/US",9.46209908036005e-06,"tons",9.95469468741576e-08,"kg / million $","Other"
"Lead","111-112","611B00/US",1.23075434269172e-05,"tons",2.60165521216697e-07,"kg / million $","Other"
"Lead","111-112","621900/US",5.74944760842811e-08,"tons",1.8615193032554e-09,"kg / million $","Other"
"Lead","111-112","624400/US",1.06887906341375e-05,"tons",3.46074813600091e-07,"kg / million $","Other"
"Lead","111-112","711100/US",0.000295425658433152,"tons",9.24044065886192e-07,"kg / million $","Other"
"Lead","111-112","711200/US",0.000159670125398164,"tons",4.99422537148591e-07,"kg / million $","Other"
"Lead","111-112","711500/US",1.20099273378112e-06,"tons",2.53874302712816e-08,"kg / million $","Other"
"Lead","111-112","711A00/US",6.9620923993242e-08,"tons",4.23979867551264e-09,"kg / million $","Other"
"Lead","111-112","713900/US",0.000339569470248328,"tons",1.31805512997861e-06,"kg / million $","Other"
"Lead","111-112","721000/US",1.67745837828287e-05,"tons",1.90589535893532e-07,"kg / million $","Other"
"Lead","111-112","722110/US",0.00287734570284083,"tons",8.99987575999541e-06,"kg / million $","Other"
"Lead","111-112","722211/US",0.000593545124577326,"tons",1.85651393013808e-06,"kg / million $","Other"
"Lead","111-112","722A00/US",0.000255206252912078,"tons",1.06850232838695e-06,"kg / million $","Other"
"Lead","111-112","811100/US",0.00160179936101951,"tons",6.21746078481155e-06,"kg / million $","Other"
"Lead","111-112","811200/US",0.00189205087551597,"tons",7.34408591217166e-06,"kg / million $","Other"
"Lead","111-112","811300/US",0.000446199661174314,"tons",1.7319453129147e-06,"kg / million $","Other"
"Lead","111-112","811400/US",4.48600293415288e-05,"tons",9.48282895342872e-07,"kg / million $","Other"
"Lead","111-112","812100/US",2.27014500370799e-07,"tons",7.35013001839769e-09,"kg / million $","Other"
"Lead","111-112","812300/US",6.26125201247379e-06,"tons",1.32354754867793e-07,"kg / million $","Other"
"Lead","111-112","812900/US",1.89594198947729e-05,"tons",4.00777570940924e-07,"kg / million $","Other"
"Lead","111-112","813B00/US",0.000912839317572593,"tons",2.85521494302236e-06,"kg / million $","Other"
"Lead","111-112","S00203/US",5.11196296733825e-05,"tons",1.08060273582243e-06,"kg / million $","Other"
"Lead","111-112",NA,0.0382590824425775,"tons",0.000119668272163008,"kg / million $","Direct"
"Lead","111/112","1111A0/US",0.106561191278181,"tons",0.000947486270248962,"kg / million $","Agriculture"
"Lead","111/112","1111B0/US",0.365443897893462,"tons",0.00145256539814437,"kg / million $","Agriculture"
"Lead","111/112","111200/US",0.00884243902877751,"tons",0.000104628768413794,"kg / million $","Agriculture"
"Lead","111/112","111300/US",0.00562100858054618,"tons",8.08859102615505e-05,"kg / million $","Agriculture"
"Lead","111/112","111400/US",0.0317287404141115,"tons",0.000670704461568919,"kg / million $","Agriculture"
"Lead","111/112","111900/US",0.0385637781442295,"tons",0.000155786612957062,"kg / million $","Agriculture"
"Lead","111/112","112120/US",0.000240006910711749,"tons",5.07343511657808e-06,"kg / million $","Agriculture"
"Lead","111/112","1121A0/US",0.507239192122563,"tons",0.00178136033780633,"kg / million $","Agriculture"
"Lead","111/112","112300/US",0.175668961758313,"tons",0.00133112158970144,"kg / million $","Agriculture"
"Lead","111/112","112A00/US",0.0283113933986875,"tons",9.94260579459879e-05,"kg / million $","Agriculture"
"Lead","111/112","113000/US",3.96205648295451e-05,"tons",8.37527404309998e-07,"kg / million $","Agriculture"
"Lead","111/112","114000/US",1.0283612125104e-06,"tons",2.17382235894997e-08,"kg / million $","Agriculture"
"Lead","111/112","115000/US",0.198649103519809,"tons",0.000621342527506381,"kg / million $","Agriculture"
"Lead","111/112","212100/US",0.0079604204172049,"tons",9.67622194043156e-05,"kg / million $","Fuels"
"Lead","111/112","212310/US",0.0159025007429954,"tons",4.9740471163715e-05,"kg / million $","Minerals"
"Lead","111/112","2123A0/US",0.0800886857160018,"tons",0.000388314221553574,"kg / million $","Minerals"
"Lead","111/112","221100/US",0.161200679109376,"tons",0.00050420986361802,"kg / million $","Purchased Electricity"
"Lead","111/112","221200/US",0.0178089756138167,"tons",5.57036187132099e-05,"kg / million $","Fuels"
"Lead","111/112","221300/US",0.121812495183375,"tons",0.000381009943151088,"kg / million $","Utilities"
"Lead","111/112","230301/US",0.0395989412185219,"tons",0.000153705183144482,"kg / million $","Construction"
"Lead","111/112","311111/US",1.77633950466508e-06,"tons",5.75131821746129e-08,"kg / million $","Manufacturing"
"Lead","111/112","311119/US",0.620842801713691,"tons",0.00368157836151778,"kg / million $","Manufacturing"
"Lead","111/112","311210/US",0.0210244599423812,"tons",0.000170964680195723,"kg / million $","Manufacturing"
"Lead","111/112","311221/US",5.072497365992e-05,"tons",1.07226021905184e-06,"kg / million $","Manufacturing"
"Lead","111/112","311224/US",0.028058061849873,"tons",0.000151619496936893,"kg / million $","Manufacturing"
"Lead","111/112","311225/US",7.56583862499866e-08,"tons",1.59932025509597e-09,"kg / million $","Manufacturing"
"Lead","111/112","311230/US",1.04050986560188e-06,"tons",2.19950303748986e-08,"kg / million $","Manufacturing"
"Lead","111/112","311300/US",0.00950411630637755,"tons",7.72846584081514e-05,"kg / million $","Manufacturing"
"Lead","111/112","311410/US",2.28031716194585e-06,"tons",4.82029502069059e-08,"kg / million $","Manufacturing"
"Lead","111/112","311420/US",2.06881094657521e-05,"tons",4.37319828616168e-07,"kg / million $","Manufacturing"
"Lead","111/112","311513/US",9.15800264170239e-06,"tons",1.93588309863001e-07,"kg / million $","Manufacturing"
"Lead","111/112","311514/US",0.00132603681211973,"tons",1.61185286992143e-05,"kg / million $","Manufacturing"
"Lead","111/112","31151A/US",1.54641641791919e-05,"tons",3.26892393900558e-07,"kg / million $","Manufacturing"
"Lead","111/112","311520/US",9.90747709371757e-06,"tons",2.09431228687946e-07,"kg / million $","Manufacturing"
"Lead","111/112","311615/US",9.67773117783298e-06,"tons",2.04574697706889e-07,"kg / million $","Manufacturing"
"Lead","111/112","31161A/US",0.000799712997351096,"tons",9.72084393217769e-06,"kg / million $","Manufacturing"
"Lead","111/112","311700/US",1.37227297924715e-05,"tons",2.90080727333944e-07,"kg / million $","Manufacturing"
"Lead","111/112","311810/US",1.14399858023323e-05,"tons",2.41826477123462e-07,"kg / million $","Manufacturing"
"Lead","111/112","3118A0/US",2.66948881799919e-06,"tons",5.64295347679196e-08,"kg / million $","Manufacturing"
"Lead","111/112","311910/US",3.74873087828675e-06,"tons",7.92433135533441e-08,"kg / million $","Manufacturing"
"Lead","111/112","311920/US",9.35441679676324e-06,"tons",1.97740250608056e-07,"kg / million $","Manufacturing"
"Lead","111/112","311930/US",5.83575685226548e-07,"tons",1.23360338493143e-08,"kg / million $","Manufacturing"
"Lead","111/112","311940/US",9.19198090997092e-06,"tons",1.9430656642871e-07,"kg / million $","Manufacturing"
"Lead","111/112","311990/US",1.40890800303786e-06,"tons",2.97824896684956e-08,"kg / million $","Manufacturing"
"Lead","111/112","312110/US",1.42221015574834e-06,"tons",3.00636799412559e-08,"kg / million $","Manufacturing"
"Lead","111/112","312120/US",0.00193636137135064,"tons",1.57459170653408e-05,"kg / million $","Manufacturing"
"Lead","111/112","312130/US",1.76046283365955e-07,"tons",3.72139032798346e-09,"kg / million $","Manufacturing"
"Lead","111/112","312140/US",0.00945340769845117,"tons",7.68723110298567e-05,"kg / million $","Manufacturing"
"Lead","111/112","312200/US",1.49121314072412e-05,"tons",3.15223136367885e-07,"kg / million $","Manufacturing"
"Lead","111/112","313100/US",4.68661446580331e-05,"tons",9.81591984970934e-07,"kg / million $","Manufacturing"
"Lead","111/112","313200/US",1.37259035654331e-06,"tons",2.90147816782109e-08,"kg / million $","Manufacturing"
"Lead","111/112","313300/US",1.26832389780655e-05,"tons",2.68107238380947e-07,"kg / million $","Manufacturing"
"Lead","111/112","314120/US",1.91050716905664e-06,"tons",4.03856461183626e-08,"kg / million $","Manufacturing"
"Lead","111/112","314900/US",0.00162806674900528,"tons",7.89998579168992e-06,"kg / million $","Manufacturing"
"Lead","111/112","315000/US",4.34793023804016e-06,"tons",9.19096116386318e-08,"kg / million $","Manufacturing"
"Lead","111/112","316000/US",0.000997219963795384,"tons",9.11644824424794e-06,"kg / million $","Manufacturing"
"Lead","111/112","321100/US",0.000387924993277728,"tons",4.40752780441484e-06,"kg / million $","Manufacturing"
"Lead","111/112","321200/US",9.73339582213022e-07,"tons",2.05751376162905e-08,"kg / million $","Manufacturing"
"Lead","111/112","321910/US",0.00100932902927244,"tons",1.04044491283949e-05,"kg / million $","Manufacturing"
"Lead","111/112","3219A0/US",0.0175330205681189,"tons",5.48404756003847e-05,"kg / million $","Manufacturing"
"Lead","111/112","322120/US",5.84459020518751e-05,"tons",1.23547064128579e-06,"kg / million $","Manufacturing"
"Lead","111/112","322130/US",2.56260488066684e-06,"tons",1.56058382390445e-07,"kg / million $","Manufacturing"
"Lead","111/112","322210/US",0.00836573050046747,"tons",5.5386820520793e-05,"kg / million $","Manufacturing"
"Lead","111/112","322220/US",0.0110641120097103,"tons",8.36558139068806e-05,"kg / million $","Manufacturing"
"Lead","111/112","322230/US",5.5640743254445e-05,"tons",5.85373928739089e-07,"kg / million $","Manufacturing"
"Lead","111/112","322291/US",0.000361106699599154,"tons",2.33610763688444e-06,"kg / million $","Manufacturing"
"Lead","111/112","322299/US",0.000372191246370078,"tons",4.52413932357012e-06,"kg / million $","Manufacturing"
"Lead","111/112","323110/US",0.00038504594283349,"tons",1.38138687829801e-06,"kg / million $","Manufacturing"
"Lead","111/112","323120/US",1.1319368277129e-07,"tons",2.39276778924246e-09,"kg / million $","Manufacturing"
"Lead","111/112","324110/US",0.162447623471412,"tons",0.000508110105541288,"kg / million $","Fuels"
"Lead","111/112","324121/US",0.00036826953809781,"tons",7.78474087021344e-06,"kg / million $","Manufacturing"
"Lead","111/112","324122/US",1.12419231345988e-05,"tons",3.63983783243665e-07,"kg / million $","Manufacturing"
"Lead","111/112","324190/US",0.00735106444752248,"tons",5.23933433442474e-05,"kg / million $","Manufacturing"
"Lead","111/112","325110/US",3.02861887612031e-06,"tons",6.40210788734086e-08,"kg / million $","Manufacturing"
"Lead","111/112","325120/US",3.15898419972216e-06,"tons",6.67768329005917e-08,"kg / million $","Manufacturing"
"Lead","111/112","325130/US",3.88803927947281e-06,"tons",8.21881126531524e-08,"kg / million $","Manufacturing"
"Lead","111/112","325180/US",0.0186121159880925,"tons",6.53634138267219e-05,"kg / million $","Manufacturing"
"Lead","111/112","325190/US",0.0140771833979132,"tons",0.000212997144328102,"kg / million $","Manufacturing"
"Lead","111/112","325211/US",6.23885034678604e-08,"tons",1.3188121268089e-09,"kg / million $","Manufacturing"
"Lead","111/112","3252A0/US",1.22279055672637e-09,"tons",7.44659146342424e-11,"kg / million $","Manufacturing"
"Lead","111/112","325310/US",0.253884017808699,"tons",0.0011401912756702,"kg / million $","Manufacturing"
"Lead","111/112","325320/US",0.177227343488683,"tons",0.000554338698717153,"kg / million $","Manufacturing"
"Lead","111/112","325411/US",1.3503991653341e-08,"tons",4.37223588172965e-10,"kg / million $","Manufacturing"
"Lead","111/112","325412/US",0.000330583667151394,"tons",1.78640027159519e-06,"kg / million $","Manufacturing"
"Lead","111/112","325414/US",0.0121082230147593,"tons",6.5430131707612e-05,"kg / million $","Manufacturing"
"Lead","111/112","325510/US",8.34228456781459e-07,"tons",1.76345086703231e-08,"kg / million $","Manufacturing"
"Lead","111/112","325520/US",0.000309611597835995,"tons",4.68462932717802e-06,"kg / million $","Manufacturing"
"Lead","111/112","325610/US",0.00327917721741918,"tons",2.3131923103316e-05,"kg / million $","Manufacturing"
"Lead","111/112","325620/US",2.98155560426705e-06,"tons",6.30262222860991e-08,"kg / million $","Manufacturing"
"Lead","111/112","325910/US",1.09636741757701e-06,"tons",2.31757866492755e-08,"kg / million $","Manufacturing"
"Lead","111/112","3259A0/US",0.00254670758456278,"tons",9.88516722052082e-06,"kg / million $","Manufacturing"
"Lead","111/112","326110/US",0.000846717752811385,"tons",5.6058468778205e-06,"kg / million $","Manufacturing"
"Lead","111/112","326120/US",0.00344977989742207,"tons",1.96103492640545e-05,"kg / million $","Manufacturing"
"Lead","111/112","326140/US",1.00617087815042e-06,"tons",2.12691486730455e-08,"kg / million $","Manufacturing"
"Lead","111/112","326150/US",9.77429682662438e-07,"tons",2.06615970402665e-08,"kg / million $","Manufacturing"
"Lead","111/112","326160/US",9.18566767835361e-07,"tons",2.97407661763517e-08,"kg / million $","Manufacturing"
"Lead","111/112","326190/US",0.00977983610178291,"tons",6.75615792302024e-05,"kg / million $","Manufacturing"
"Lead","111/112","326210/US",0.0294634400998716,"tons",0.000114363751081784,"kg / million $","Manufacturing"
"Lead","111/112","326220/US",0.00264438115666869,"tons",1.18758965231604e-05,"kg / million $","Manufacturing"
"Lead","111/112","326290/US",4.00976997725291e-05,"tons",8.47613418783094e-07,"kg / million $","Manufacturing"
"Lead","111/112","327100/US",2.88349655125744e-06,"tons",1.75600152334279e-07,"kg / million $","Manufacturing"
"Lead","111/112","327200/US",1.85585366451297e-05,"tons",3.92303418466079e-07,"kg / million $","Manufacturing"
"Lead","111/112","327310/US",3.93408231312921e-07,"tons",2.39579080883529e-08,"kg / million $","Manufacturing"
"Lead","111/112","327320/US",9.46325631802015e-05,"tons",2.00040977064551e-06,"kg / million $","Manufacturing"
"Lead","111/112","327330/US",0.0031806559309084,"tons",3.27871010030483e-05,"kg / million $","Manufacturing"
"Lead","111/112","327390/US",1.258327666778e-05,"tons",2.65994164662224e-07,"kg / million $","Manufacturing"
"Lead","111/112","327400/US",0.000132674618838657,"tons",2.80263590916698e-06,"kg / million $","Manufacturing"
"Lead","111/112","327910/US",9.81446165948028e-08,"tons",2.07465002927847e-09,"kg / million $","Manufacturing"
"Lead","111/112","327991/US",1.51188672556866e-07,"tons",3.19593264337317e-09,"kg / million $","Manufacturing"
"Lead","111/112","331110/US",1.10271117208776e-08,"tons",6.71532794845484e-10,"kg / million $","Manufacturing"
"Lead","111/112","331200/US",0.0168620755189886,"tons",5.27418671231359e-05,"kg / million $","Manufacturing"
"Lead","111/112","33131B/US",4.88145569230912e-07,"tons",1.58048644288868e-08,"kg / million $","Manufacturing"
"Lead","111/112","331410/US",6.40616591668579e-08,"tons",3.90124867795709e-09,"kg / million $","Manufacturing"
"Lead","111/112","331420/US",1.73541108500897e-06,"tons",1.05683653672927e-07,"kg / million $","Manufacturing"
"Lead","111/112","331520/US",5.83649382521298e-07,"tons",1.8897025695196e-08,"kg / million $","Manufacturing"
"Lead","111/112","332114/US",1.0690992479077e-07,"tons",6.51063691098182e-09,"kg / million $","Manufacturing"
"Lead","111/112","332119/US",0.000360901524941486,"tons",4.10049244931349e-06,"kg / million $","Manufacturing"
"Lead","111/112","332200/US",0.0289178380559824,"tons",9.0450358291864e-05,"kg / million $","Manufacturing"
"Lead","111/112","332310/US",0.02130741989658,"tons",6.66461911913969e-05,"kg / million $","Manufacturing"
"Lead","111/112","332320/US",2.30034984355996e-06,"tons",4.86264151399733e-08,"kg / million $","Manufacturing"
"Lead","111/112","332420/US",5.05237016824538e-06,"tons",1.63582403665938e-07,"kg / million $","Manufacturing"
"Lead","111/112","332500/US",0.000294229018829003,"tons",3.74808715689743e-06,"kg / million $","Manufacturing"
"Lead","111/112","332600/US",0.126950016004727,"tons",0.00116055964835358,"kg / million $","Manufacturing"
"Lead","111/112","332710/US",0.00184640863178637,"tons",6.48435522161457e-06,"kg / million $","Manufacturing"
"Lead","111/112","332720/US",2.42180304389039e-06,"tons",5.11937784285963e-08,"kg / million $","Manufacturing"
"Lead","111/112","332913/US",4.10627231241971e-07,"tons",2.50065165943234e-08,"kg / million $","Manufacturing"
"Lead","111/112","33291A/US",8.00418879986778e-07,"tons",1.69198180237992e-08,"kg / million $","Manufacturing"
